lead_id,feed_date,last_seen_at,freshness_tier,lead_type,target_product,market,language,company_or_profile,role_or_segment,contact_channel,email_status,phone_status,source_type,activity_signal,intent_signal,activity_score,compliance_status,recommended_offer,next_action
SAMPLE-001,2026-06-10,2026-06-10T09:20:00Z,hot_24h,Affiliate Partner,FX CFD,LATAM,Spanish,FX education channel,Trading educator,Email + WhatsApp,verified,supplied_by_vendor,KOL database,Posted MT4 broker tutorial today,Promotes MT4 tutorials,88,prospect_not_opted_in,IB partnership proposal,Send partnership intro
SAMPLE-002,2026-06-10,2026-06-10T08:35:00Z,hot_24h,Trader Lead,Crypto Futures,SEA,English,Individual trader,Crypto futures interest,Email,verified,not_available,Landing page form,Downloaded futures checklist,Requested crypto futures guide,92,consented_lead,Demo account + risk guide,Send demo account flow
SAMPLE-003,2026-06-10,2026-06-09T21:44:00Z,warm_72h,IB Prospect,Gold CFD,MENA,Arabic,Trading community owner,Telegram group admin,LinkedIn + Telegram,verified,manual_review,Community research,Posted gold volatility thread,Runs gold signal community,81,prospect_not_opted_in,IB revenue share invite,Manual compliance review
SAMPLE-004,2026-06-10,2026-06-10T10:05:00Z,hot_24h,Trader Lead,Stocks,Africa,English,Individual investor,US stocks interest,Email + WhatsApp,verified,verified,Trading tool,Used position-size calculator,Pip and position-size calculator used,79,consented_lead,Stock CFD broker comparison,Route to sales team
SAMPLE-005,2026-06-10,2026-06-08T14:10:00Z,warm_72h,B2B Decision Maker,Multi-asset,Europe,English,Online brokerage,Head of Affiliates,Email,verified,not_available,B2B data enrichment,Company posted affiliate hiring role,Hiring affiliate managers,76,legitimate_interest_review,Lead supply call,Send broker growth deck
SAMPLE-006,2026-06-10,2026-06-10T03:28:00Z,hot_24h,Affiliate Partner,Crypto Exchange,LATAM,Portuguese,Crypto newsletter,Newsletter operator,Email,verified,not_available,Creator database,Sent exchange comparison newsletter,Covers exchange promotions,84,prospect_not_opted_in,Exchange affiliate offer,Send sponsored campaign proposal
SAMPLE-007,2026-06-10,2026-06-09T11:58:00Z,warm_72h,Trader Lead,FX,SEA,Vietnamese,Individual trader,Forex beginner,Email,verified,not_available,SEO form,Requested MT5 setup guide,Requested MT5 setup guide,74,consented_lead,MT5 demo account onboarding,Send education sequence
SAMPLE-008,2026-06-10,2026-06-10T06:42:00Z,hot_24h,IB Prospect,FX CFD,Africa,English,Trading academy,Founder,Email + Phone,verified,verified,Data vendor + manual QA,Published forex webinar signup page,Advertises forex courses,86,prospect_not_opted_in,Introducing broker program,Call after email reply
SAMPLE-009,2026-06-10,2026-06-10T02:12:00Z,hot_24h,Trader Lead,Gold CFD,MENA,English,Individual trader,Gold and oil interest,Email + WhatsApp,verified,verified,Webinar registration,Registered for gold volatility webinar,Registered for gold volatility webinar,90,consented_lead,Gold demo account + risk warning,Send webinar follow-up
SAMPLE-010,2026-06-10,2026-06-07T18:50:00Z,cooling_7d,B2B Decision Maker,Stocks,Global,English,Fintech broker,Country Manager,LinkedIn + Email,verified,not_available,LinkedIn enrichment,Recent region expansion post,Expanding into new region,68,legitimate_interest_review,Regional lead package,Send sample pack offer
